merk;cashback;min_pembelian;tipe;disc;before_disc;after_disc;harga_Fix
SAINT LAURENT;15% off;Min. pembelian  Rp400.000, maks. potongan Rp120.000.;Saint Laurent CASSANDRE MATELASSÉ Gold Tone Tri-Fold Wallet in Black for UNISEX;-6%;Rp 21.916.758;None;Rp20.700.920
MLB;None;None;MONOGRAM DIA Jacquard Tote Bag NEW YORK YANKEES black;-19%;Rp 3.530.000;Rp 2.860.000;Rp 2.860.000
MICHAEL KORS;None;None;Michael Kors counter HEATHER Extra small PVC printed leather ladies' bag 32S2G7HC0B;-29%;Rp 10.704.000;Rp 7.644.838;Rp 7.644.838
LONGCHAMP;3% Cashback;Tanpa min. pembelian.;Longchamp Le Pliage Original Tote Bag Large Turquoise;-29%;Rp 3.760.000;Rp 2.690.000;Rp 2.690.000
Balenciaga;5% off;Min. pembelian  Rp4.000.000, maks. potongan Rp200.000.;Balenciaga Le Cagole XS Shoulder Bag Arena Lambskin Tomato Red Shw;-29%;Rp 39.400.000;None;Rp27.980.000
Coach;None;None;COACH蔻馳 X Peanuts snopsey no. 33 model bunga klasik snopsey Tote bag shope shope tally kit kit;-85%;Rp 58.112.600;Rp 8.760.268;Rp 8.760.268
Kate Spade;None;None;Monica Crossbody Warm Gingerbread;-42%;Rp 6.240.000;Rp 3.648.000;Rp 3.648.000
MICHAEL KORS;None;None;Marilyn Medium Saffiano Leather Tote Bag;None;None;None;None
BALLY;5% off;Min. pembelian  Rp4.000.000, maks. potongan Rp200.000.;Bally Cleoh XS Leather Bucket Bag Black;-40%;Rp 10.230.000;None;Rp6.150.000
MARHEN J;20% off;Min. pembelian  Rp499.000, maks. potongan Rp150.000.;Marhen J Harper Bag Black;-34%;Rp 4.948.000;None;Rp3.313.600
MLB;None;None;MLB Jacquard Hobo Monogram Bag Black;None;None;None;None
Kate Spade;None;None;Kate Spade Crush Medium Crossbody Bag Mushroom Cap K7801;-52%;Rp 18.000.000;Rp 8.730.000;Rp 8.730.000
MICHAEL KORS;None;None;MICHAEL KORS MKTravel klasik tas tangan boston dengan gaya bolak-balik dan gaya berkendara dengan LOGO berbahan dasar wanita;-41%;Rp 11.000.000;Rp 6.514.336;Rp 6.514.336
Prada;5% off;Min. pembelian  Rp4.000.000, maks. potongan Rp200.000.;Prada Denim Medium Tote Bag Logo Print Blue Black;-32%;Rp 23.750.000;None;Rp16.150.000
MARHEN J;20% off;Min. pembelian  Rp499.000, maks. potongan Rp150.000.;Marhen J Oat Bag + Pebble Case - Green;-26%;Rp 2.875.000;None;Rp2.150.000
Coach;15% off;Min. pembelian  Rp400.000, maks. potongan Rp120.000.;Medium Corner Zip Wallet Black;-37%;Rp 4.520.000;None;Rp2.884.000
Bonia;None;None;Damiano Capsule Basic Shoulder Bag Ultramarine;-50%;Rp 5.400.000;Rp 2.700.000;Rp 2.700.000
MICHAEL KORS;None;None;MICHAEL KORS MKJet Set Item Item satu bahu memegang kotak terlampir wanita;-25%;Rp 8.800.000;Rp 6.672.606;Rp 6.672.606
MLB;None;None;Classic Monogram Hobo Bag BOSTON REDSOX green;-19%;Rp 2.267.500;Rp 1.846.000;Rp 1.846.000
Gucci;None;None;Gucci Women's Single Shoulder Messenger Bag 421970 khnrn;-20%;Rp 82.808.000;Rp 66.816.667;Rp 66.816.667
TORY BURCH;None;None;Tory Burch Virginia Nylon Small Messenger Bag Gray Heron;-29%;Rp 6.920.000;Rp 4.950.000;Rp 4.950.000
MARHEN J;20% off;Min. pembelian  Rp499.000, maks. potongan Rp150.000.;Marhen J Mina Bag Black;-27%;Rp 2.355.000;None;Rp1.734.000
MICHAEL KORS;None;None;Mirella Medium East West Tote Bag;-40%;Rp 12.559.000;Rp 7.535.400;Rp 7.535.400
Coach;15% off;Min. pembelian  Rp400.000, maks. potongan Rp120.000.;Pillow Tabby Shoulder Bag 18 With Ombre Petunia Multi;-27%;Rp 9.335.000;None;Rp6.897.000
Kate Spade;None;None;Ava Reversible Tote Warm Gingerbread;-45%;Rp 7.925.000;Rp 4.435.000;Rp 4.435.000
Bonia;None;None;Damiano Capsule Backpack Dark Brown;-50%;Rp 5.400.000;Rp 2.700.000;Rp 2.700.000
MARHEN J;20% off;Min. pembelian  Rp499.000, maks. potongan Rp150.000.;MARHEN.J Luna Beige;-30%;Rp 1.655.000;None;Rp1.174.000
MICHAEL KORS;None;None;Sinclair Extra-Small Pebbled Leather Crossbody Bag;None;None;None;None
Coach;None;None;Coach Ellis Nylon Backpack Black CA210;-55%;Rp 19.550.000;Rp 8.977.500;Rp 8.977.500
Gucci;None;None;Gucci Ophidia Gg Medium Top Handle Shoulder Bag in Brown;-5%;Rp 69.614.947;Rp 66.134.200;Rp 66.134.200
Christian Dior;5% off;Min. pembelian  Rp4.000.000, maks. potongan Rp200.000.;Christian Dior Lady D-Joy bag Rose Des Vents Cannage Calfskin with Diamond Motif;-39%;Rp 124.520.000;None;Rp76.150.000
MARHEN J;20% off;Min. pembelian  Rp499.000, maks. potongan Rp150.000.;Marhen.J Joy Mini Green;-28%;Rp 2.125.000;None;Rp1.550.000
MICHAEL KORS;None;None;Hamilton Legacy Small Leather Belted Satchel;-50%;Rp 8.719.000;Rp 4.359.500;Rp 4.359.500
MARHEN J;20% off;Min. pembelian  Rp499.000, maks. potongan Rp150.000.;MARHEN.J Rico Mini EQ Beige;-32%;Rp 1.345.000;None;Rp926.000
MARHEN J;20% off;Min. pembelian  Rp499.000, maks. potongan Rp150.000.;Marhen J Roy Nano Bag Brick Orange;-29%;Rp 1.845.000;None;Rp1.326.000
Guess;20% off + 15% Cashback;Min. pembelian  Rp399.000, maks. potongan Rp300.000.;Izzy Slg Large Zip Around;None;None;None;None
Guess;20% off + 15% Cashback;Min. pembelian  Rp399.000, maks. potongan Rp300.000.;Quilted Wallet;-31%;Rp 1.610.599;Rp 1.127.419;Rp 1.127.419
MARHEN J;20% off;Min. pembelian  Rp499.000, maks. potongan Rp150.000.;Marhen J Bona Bag All Sky Blue;-28%;Rp 1.988.000;None;Rp1.440.400
KARL LAGERFELD;5% off;Min. pembelian  Rp500.000, maks. potongan Rp25.000.;Dompet HP Universal Karl Lagerfeld Monogram Ikonik Patch - Silver;-3%;Rp 990.000;None;Rp965.000
JW PEI;10% off;Min. pembelian  Rp800.000, maks. potongan Rp250.000.;JW Pei Mini Flap Bag - Blue Denim Weave;-24%;Rp 1.568.000;None;Rp1.199.520
BALLY;5% off;Min. pembelian  Rp4.000.000, maks. potongan Rp200.000.;Bally Bleyr Mini Shoulder Bag Dark Mineral Rutenio Reflex Rhw;-31%;Rp 11.580.000;None;Rp8.080.000
Bonia;None;None;Gladiosa Monogram Large Tote Bag Oat Milk;-25%;Rp 6.400.000;Rp 4.800.000;Rp 4.800.000
Kate Spade;None;None;Darcy Micro Satchel Black;-42%;Rp 6.680.000;Rp 3.936.000;Rp 3.936.000
MARHEN J;20% off;Min. pembelian  Rp499.000, maks. potongan Rp150.000.;MARHEN.J Rico Mini EQ Olive Khaki;-32%;Rp 1.345.000;None;Rp926.000
MICHAEL KORS;None;None;Karlie Small Colorblock Crossbody Bag;-50%;Rp 9.279.000;Rp 4.639.500;Rp 4.639.500
MLB;None;None;MONOGRAM Embo Shoulder Bag BOSTON REDSOX brown;-19%;Rp 3.042.500;Rp 2.466.000;Rp 2.466.000
Marc Jacobs;None;None;"Marc Jacobs ""Double J"" Hip Shot (M/L) Belt Bag in BLACK MULTI";-5%;Rp 10.526.146;Rp 9.999.839;Rp 9.999.839
Kate Spade;None;None;Ava Reversible Tote Crisp Peach;-45%;Rp 7.925.000;Rp 4.435.000;Rp 4.435.000
JW PEI;10% off;Min. pembelian  Rp800.000, maks. potongan Rp250.000.;JW Pei Rantan Bag - Yellow Croc;-24%;Rp 2.000.000;None;Rp1.530.000
MICHAEL KORS;None;None;Karlie Graphic Logo Striped Leather Crossbody Bag;-50%;Rp 9.279.000;Rp 4.639.500;Rp 4.639.500
Coach;None;None;COACH蔻馳 Klare 21 wanita anggun dengan tas mengantung bahu satu bahu;-29%;Rp 14.300.000;Rp 10.207.313;Rp 10.207.313
Christian Dior;5% off;Min. pembelian  Rp4.000.000, maks. potongan Rp200.000.;Christian Dior 30 Montaigne Bag Oblique Jacquard Blue;-34%;Rp 96.220.000;None;Rp63.780.000
Braun Buffel;None;None;BRAUN BUFFEL RUE MEDIUM TOTE BAG;-10%;Rp 13.399.000;Rp 12.059.100;Rp 12.059.100
Burberry;15% off;Min. pembelian  Rp400.000, maks. potongan Rp120.000.;Burberry Mini Freya Tote Bag in Natural/Tan;-6%;Rp 33.765.029;None;Rp31.956.778
Bonia;None;None;La Luna Monogram Small Backpack Brown;-30%;Rp 5.900.000;Rp 4.130.000;Rp 4.130.000
Strathberry;None;None;BOX CRESCENT SHOULDER BAG - BLACK;None;None;None;None
Kate Spade;None;None;Disney X Kate Spade New York Other Minnie Mouse Camera Bag;-26%;Rp 5.900.000;Rp 4.380.000;Rp 4.380.000
Burberry;15% off;Min. pembelian  Rp400.000, maks. potongan Rp120.000.;Burberry Mini TB Bucket Bag in Dark Birch Brown;-6%;Rp 37.680.552;None;Rp35.676.524
MARHEN J;20% off;Min. pembelian  Rp499.000, maks. potongan Rp150.000.;Marhen.J Joy Navy;-27%;Rp 2.215.000;None;Rp1.622.000
LIFEWORK;None;None;Radog D Ring Waist Bag Black;-19%;Rp 1.680.000;Rp 1.376.000;Rp 1.376.000
MICHAEL KORS;None;None;Greenwich Small Two-Tone Logo and Saffiano Leather Crossbody Bag;-50%;Rp 6.349.000;Rp 3.174.500;Rp 3.174.500
Coach;15% off;Min. pembelian  Rp400.000, maks. potongan Rp120.000.;Mollie Tote 25 With Signature Canvas Interior Light Sage Khaki;-48%;Rp 8.340.000;None;Rp4.413.000
LONGCHAMP;5% off;Min. pembelian  Rp4.000.000, maks. potongan Rp200.000.;Longchamp Box-Trot S Crossbody Bag Orange;-42%;Rp 8.740.000;None;Rp5.070.000
MARHEN J;20% off;Min. pembelian  Rp499.000, maks. potongan Rp150.000.;Marhen J Bona Bag Beige;-28%;Rp 1.988.000;None;Rp1.440.400
Coach;15% off;Min. pembelian  Rp400.000, maks. potongan Rp120.000.;Stanton Crossbody In Signature Jacquard Utility Green;-38%;Rp 5.656.000;None;Rp3.561.200
MICHAEL KORS;None;None;Jet Set Charm Small Animal Print Nylon Shoulder Bag;-50%;Rp 3.799.000;Rp 1.899.500;Rp 1.899.500
Prada;None;None;Prada Soft Padded Nappa Leather Mini Bag Black;-29%;Rp 43.310.000;Rp 30.970.000;Rp 30.970.000
Bonia;20% off + 15% Cashback;Min. pembelian  Rp399.000, maks. potongan Rp300.000.;La Luna Monogram Crossbody Sling Bag Brown;-30%;Rp 4.900.000;None;Rp3.473.000
Denali;None;None;Gabriel Case Wallet Crossbody Bag;-12%;Rp 599.900;Rp 529.900;Rp 529.900
MARHEN J;20% off;Min. pembelian  Rp499.000, maks. potongan Rp150.000.;Marhen J Bready Bag Mustard;-28%;Rp 2.088.000;None;Rp1.520.400
TORY BURCH;None;None;Tory Burch Kira Chevron Small Camera Bag Devon Sand;-29%;Rp 7.070.000;Rp 5.060.000;Rp 5.060.000
MICHAEL KORS;None;None;Hamilton Legacy Small Logo Belted Satchel;None;None;None;None
Guess;25% Cashback;Min. pembelian  Rp299.000.;Eco Elements Backpack;-20%;Rp 2.833.650;Rp 2.266.920;Rp 2.266.920
Guess;20% off + 15% Cashback;Min. pembelian  Rp399.000, maks. potongan Rp300.000.;Quilted Wallet;-31%;Rp 1.610.599;Rp 1.127.419;Rp 1.127.419
Marc Jacobs;None;None;Marc Jacobs Traveler The Tote Bag Small Beige;-36%;Rp 5.840.000;Rp 3.770.000;Rp 3.770.000
Kenzo;15% off;Min. pembelian  Rp400.000, maks. potongan Rp120.000.;Kenzo Logo Small Leather Crossbody Bag in Poppy;-6%;Rp 14.441.669;None;Rp13.599.586
Coach;15% off;Min. pembelian  Rp400.000, maks. potongan Rp120.000.;Mollie Tote Red Apple;-52%;Rp 9.390.000;None;Rp4.558.000
Bonia;None;None;La Luna Monogram Shoulder Bag Brown;-30%;Rp 5.900.000;Rp 4.130.000;Rp 4.130.000
Kate Spade;None;None;Carson Convertible Crossbody warm beige multi;-41%;Rp 6.665.000;Rp 3.933.000;Rp 3.933.000
MARHEN J;20% off;Min. pembelian  Rp499.000, maks. potongan Rp150.000.;MARHEN.J Bono Leblanc Brown;-27%;Rp 2.295.000;None;Rp1.686.000
Coach;None;None;Coach Katy Satchel Black 2553;-47%;Rp 16.500.000;Rp 8.752.500;Rp 8.752.500
MCM;None;None;München Tote in Visetos;None;None;None;None
Bonia;20% off + 15% Cashback;Min. pembelian  Rp399.000, maks. potongan Rp300.000.;La Luna Monogram 3 Fold Long Zipper Wallet White;-31%;Rp 2.950.000;None;Rp2.060.000
MICHAEL KORS;None;None;Blaire Extra-Small Logo Jacquard Duffel Crossbody Bag;-50%;Rp 6.349.000;Rp 3.174.500;Rp 3.174.500
Marc Jacobs;None;None;Marc Jacobs Quilted Mini Grind Leather Tote Rock Grey H047L01RE22;-47%;Rp 20.400.000;Rp 10.980.000;Rp 10.980.000
Coach;15% off;Min. pembelian  Rp400.000, maks. potongan Rp120.000.;Dempsey Drawstring Backpack In Signature Jacquard With Coach Patch And Stripe Wine Multi;-41%;Rp 9.820.000;None;Rp5.794.000
TORY BURCH;5% off;Min. pembelian  Rp4.000.000, maks. potongan Rp200.000.;Tory Burch Fleming Convertible Small New Cream;-36%;Rp 11.130.000;None;Rp7.170.000
MARHEN J;20% off;Min. pembelian  Rp499.000, maks. potongan Rp150.000.;Marhen J Manon Bag Olive Khaki;-27%;Rp 2.230.000;None;Rp1.634.000
MCM;None;None;Aren Crossbody Wallet in Monogram Leather;None;None;None;None
Prada;None;None;Prada Triangel Logo Cleo Brushed Leather Shoulder Bag Black;-30%;Rp 47.820.000;Rp 33.550.000;Rp 33.550.000
Coach;15% off;Min. pembelian  Rp400.000, maks. potongan Rp120.000.;Medium Corner Zip Wallet In Signature Canvas Khaki Chalk;-37%;Rp 4.425.000;None;Rp2.814.000
Kate Spade;None;None;Monica Crossbody Black;-42%;Rp 6.240.000;Rp 3.648.000;Rp 3.648.000
MARHEN J;20% off;Min. pembelian  Rp499.000, maks. potongan Rp150.000.;Marhen J Rona Bag Indi Pink;-28%;Rp 1.975.000;None;Rp1.430.000
PINKO;None;None;Pinko Aika Leather Handbag Beet;-29%;Rp 5.720.000;Rp 4.090.000;Rp 4.090.000
See by Chloe;15% off;Min. pembelian  Rp400.000, maks. potongan Rp120.000.;See By Chloe Mini Hana In Grained And Suede Cowhide Crossbody Bag in Caramello;-6%;Rp 13.933.160;None;Rp13.116.502
SAINT LAURENT;5% off;Min. pembelian  Rp4.000.000, maks. potongan Rp200.000.;Saint Laurent Envelope Small Shoulder Bag Mix Matelassé Leather Black Ghw;-29%;Rp 45.870.000;None;Rp32.600.000
Coach;15% off;Min. pembelian  Rp400.000, maks. potongan Rp120.000.;Mini Dempsey Bucket Bag In Signature Jacquard With Stripe And Coach Patch Saddle Multi;-28%;Rp 6.240.000;None;Rp4.518.000
Bonia;None;None;Monogram Crossbody I;-20%;Rp 3.450.000;Rp 2.760.000;Rp 2.760.000
JW PEI;10% off;Min. pembelian  Rp800.000, maks. potongan Rp250.000.;JW Pei Eva Shoulder Bag - Beige Canvas;-29%;Rp 1.510.000;None;Rp1.087.200
LIFEWORK;None;None;Monogram Wide Tote Bag Pattern Black;-20%;Rp 3.530.000;Rp 2.856.000;Rp 2.856.000
Phillip Lim;5% off;Min. pembelian  Rp4.000.000, maks. potongan Rp200.000.;PHILLIP LIM Mini Pashli Satchel Bag Shiny Calfskin Leather Sangria Ghw;-32%;Rp 9.630.000;None;Rp6.580.000
Coach;15% off;Min. pembelian  Rp400.000, maks. potongan Rp120.000.;Sydney Satchel With Heart Cherry Print Chalk Multi;-41%;Rp 7.720.000;None;Rp4.574.000
SAINT LAURENT;3% Cashback;Tanpa min. pembelian.;Saint Laurent Puffer Toy Bag in Quilted Lambskin Black Ghw;-29%;Rp 41.810.000;Rp 29.900.000;Rp 29.900.000
Balenciaga;5% off;Min. pembelian  Rp4.000.000, maks. potongan Rp200.000.;Balenciaga Hourglass XS Top Handle Bag Croco Beige Ghw;-1%;Rp 38.790.000;None;Rp38.590.000
MARHEN J;20% off;Min. pembelian  Rp499.000, maks. potongan Rp150.000.;MARHEN.J RICO EQ KHAKI;-30%;Rp 1.545.000;None;Rp1.086.000
Kate Spade;None;None;Kate Spade Kitt The Little Better Nylon Large Tote K6031 Black;-53%;Rp 10.956.000;Rp 5.232.000;Rp 5.232.000
Coach;None;None;Coach Sydney Satchel Black CA202;-51%;Rp 17.125.000;Rp 8.505.000;Rp 8.505.000
MCM;None;None;Aren Top-Zip Shopper in Visetos Leather Mix;None;None;None;None
Marc Jacobs;None;None;Marc Jacobs Women's Mini Leather Crossbody Bag H107L01FA21;-54%;Rp 10.956.000;Rp 5.130.000;Rp 5.130.000
Coach;15% off;Min. pembelian  Rp400.000, maks. potongan Rp120.000.;Mini Jamie Camera Bag With Heart Cherry Print Powder Pink Multi;-42%;Rp 6.200.000;None;Rp3.620.000
Guess;20% off + 15% Cashback;Min. pembelian  Rp399.000, maks. potongan Rp300.000.;Manhattan Backpack;None;None;None;None
Guess;25% Cashback;Min. pembelian  Rp299.000.;Eco Elements Girlfriend Satchel Bag;-10%;Rp 2.878.800;Rp 2.590.920;Rp 2.590.920
MICHAEL KORS;None;None;Jet Set Charm Saffiano Leather Crossbody Bag;-50%;Rp 6.089.000;Rp 3.044.500;Rp 3.044.500
Prada;None;None;Prada Galleria Saffiano Leather Small Bag Red;-29%;Rp 45.420.000;Rp 32.480.000;Rp 32.480.000
Coach;None;None;COACH 蔻馳 Kanvas Poppy tua dengan kulit di bahu satu lengan di lengan dengan rantai yang berat;-13%;Rp 10.590.400;Rp 9.302.911;Rp 9.302.911
SAINT LAURENT;5% off;Min. pembelian  Rp4.000.000, maks. potongan Rp200.000.;Saint Laurent Woc 22cm Black Ghw;-29%;Rp 31.880.000;None;Rp22.700.000
Balenciaga;5% off;Min. pembelian  Rp4.000.000, maks. potongan Rp200.000.;Balenciaga Neo Classic Croco City Small Leather Grey Ghw;-35%;Rp 42.860.000;None;Rp27.980.000
MICHAEL KORS;None;None;Michael Kors Mercer Extra-Small Pebbled Leather Crossbody Bag Luggage 35S1GM9T0L;-53%;Rp 10.956.000;Rp 5.152.500;Rp 5.152.500
Braun Buffel;None;None;BRAUN BUFFEL RUE SMALL HOBO BAG;-10%;Rp 9.699.000;Rp 8.729.100;Rp 8.729.100
Coach;None;None;Coach Dinky 18 In Signature Jacquard With Quilting Oak Maple C5281;-46%;Rp 21.956.000;Rp 11.880.000;Rp 11.880.000
MICHAEL KORS;None;None;Bedford Medium Faux Pebbled Leather Tote;-50%;Rp 6.349.000;Rp 3.174.500;Rp 3.174.500
Coach;5% off;Min. pembelian  Rp4.000.000, maks. potongan Rp200.000.;Coach Payton Hobo Signature Canvas Khaki Electric Red;-32%;Rp 5.870.000;None;Rp4.000.000
MCM;None;None;Travia Accordion Card Holder in Visetos Leather Block;None;None;None;None
MICHAEL KORS;None;None;Reed Large Card Holder;-30%;Rp 4.239.000;Rp 2.967.300;Rp 2.967.300
SAINT LAURENT;15% off;Min. pembelian  Rp400.000, maks. potongan Rp120.000.;"Saint Laurent Loulou Toy In Matelassé ""Y"" Leather Crossbody Bag in Black/Silver";-6%;Rp 59.292.204;None;Rp56.207.594
SAINT LAURENT;15% off;Min. pembelian  Rp400.000, maks. potongan Rp120.000.;Saint Laurent E/W In Supple Leather Tote Bag in Black;-6%;Rp 43.782.665;None;Rp41.473.532
KWANI;None;None;Kwani Square Handle Backpack Black;-20%;Rp 1.985.000;Rp 1.588.000;Rp 1.588.000
MCM;None;None;Tracy Crossbody in Vintage Monogram Jacquard;None;None;None;None
Marc Jacobs;None;None;Mini Leather Crossbody Smoked Almond;-31%;Rp 3.850.000;Rp 2.660.000;Rp 2.660.000
Coach;None;None;Coach women's one shoulder handbag;-34%;Rp 11.440.000;Rp 7.607.155;Rp 7.607.155
KWANI;None;None;Kwani Handmade Weaving Tote Mini Black White;-40%;Rp 985.000;Rp 591.000;Rp 591.000
Balenciaga;5% off;Min. pembelian  Rp4.000.000, maks. potongan Rp200.000.;Balenciaga Hourglass Small Black Shw;-36%;Rp 46.100.000;None;Rp29.700.000
Bonia;20% off + 15% Cashback;Min. pembelian  Rp399.000, maks. potongan Rp300.000.;La Luna Monogram Mini Crossbody Bag White;-28%;Rp 3.950.000;None;Rp2.860.000
Bonia;25% off + 1% Cashback;Min. pembelian  Rp299.000, maks. potongan Rp500.000.;Damiano Capsule Satchel XXL Dark Blue;-51%;Rp 9.350.000;None;Rp4.642.500
LONGCHAMP;3% Cashback;Tanpa min. pembelian.;Longchamp Le Pliage Original Medium Tote Bag Turqoise;-29%;Rp 3.610.000;Rp 2.590.000;Rp 2.590.000
KWANI;None;None;Kwani Handmade Weaving Tote Medium Brown Black;-40%;Rp 1.415.000;Rp 849.000;Rp 849.000
Christian Dior;5% off;Min. pembelian  Rp4.000.000, maks. potongan Rp200.000.;Christian Dior Micro Lady D-Joy Bag Cannage Lambskin Latte;-29%;Rp 82.710.000;None;Rp58.940.000
Coach;None;None;COACH Kulit Wanita Kecil Satu Tas Salib Shoulder CE772B4HA;-37%;Rp 23.793.010;Rp 14.993.110;Rp 14.993.110
Balenciaga;5% off;Min. pembelian  Rp4.000.000, maks. potongan Rp200.000.;Balenciaga Neo Classic City XS Handle Bag Yellow Beige;-31%;Rp 39.600.000;None;Rp27.550.000
Coach;15% off;Min. pembelian  Rp400.000, maks. potongan Rp120.000.;Slim Trifold Wallet Buttercup;-47%;Rp 5.500.000;None;Rp2.930.000
Gucci;None;None;Gucci GG Marmont Logo-plaque Shoulder Bag Black Orange Ghw;-29%;Rp 40.310.000;Rp 28.820.000;Rp 28.820.000
Balenciaga;15% off;Min. pembelian  Rp400.000, maks. potongan Rp120.000.;Balenciaga TOOL 2.0 SMALL NORTH-SOUTH Shoulder Bag in Mink Grey;-6%;Rp 46.732.021;None;Rp44.275.420
LONGCHAMP;15% off;Min. pembelian  Rp400.000, maks. potongan Rp120.000.;Longchamp Le Pliage Energy M Crossbody Bag in Cobalt;-7%;Rp 7.663.238;None;Rp7.160.076
Coach;15% off;Min. pembelian  Rp400.000, maks. potongan Rp120.000.;City Tote In Signature Canvas With Varsity Motif Amazon Green;-48%;Rp 9.390.000;None;Rp4.908.000
SAINT LAURENT;15% off;Min. pembelian  Rp400.000, maks. potongan Rp120.000.;Saint Laurent Rive Gauche Bucket Bag in White Linen;-6%;Rp 53.749.452;None;Rp50.941.979
Coach;15% off;Min. pembelian  Rp400.000, maks. potongan Rp120.000.;Mollie Tote With Heart Cherry Print Chalk Multi;-39%;Rp 9.350.000;None;Rp5.720.000
Coach;15% off;Min. pembelian  Rp400.000, maks. potongan Rp120.000.;Eva Phone Crossbody In Colorblock Signature Canvas Brown Pink;-38%;Rp 5.620.000;None;Rp3.509.000
Guess;20% off + 15% Cashback;Min. pembelian  Rp399.000, maks. potongan Rp300.000.;Quilted Wallet;-31%;Rp 1.610.599;Rp 1.127.419;Rp 1.127.419
Guess;25% Cashback;Min. pembelian  Rp299.000.;Eco Elements Backpack;-20%;Rp 2.833.650;Rp 2.266.920;Rp 2.266.920
See by Chloe;15% off;Min. pembelian  Rp400.000, maks. potongan Rp120.000.;See By Chloe Mara In Bi-colour Smooth Cowhide Crossbody Bag in Cement Beige;-6%;Rp 20.238.677;None;Rp19.106.743
Bottega Veneta;15% off;Min. pembelian  Rp400.000, maks. potongan Rp120.000.;Bottega Veneta Pouch Clutch Bag in Nero;-6%;Rp 101.752.745;None;Rp96.545.108
Balenciaga;15% off;Min. pembelian  Rp400.000, maks. potongan Rp120.000.;Balenciaga Shopping Crossbody Bag in Gold;-6%;Rp 36.866.937;None;Rp34.903.590
Chloé;15% off;Min. pembelian  Rp400.000, maks. potongan Rp120.000.;Chloe Mini Marcie Crossbody Bag in Smoked Red;-6%;Rp 30.154.612;None;Rp28.526.881
MARHEN J;20% off;Min. pembelian  Rp499.000, maks. potongan Rp150.000.;MARHEN.J Bello Olive Khaki;-31%;Rp 1.395.000;None;Rp966.000
MICHAEL KORS;None;None;Michael Kors Mercer Signature Small Drawstring Bucket Brown 35F2GM9M1B;-54%;Rp 13.392.000;Rp 6.255.000;Rp 6.255.000
SAINT LAURENT;5% off;Min. pembelian  Rp4.000.000, maks. potongan Rp200.000.;Saint Laurent Classic Sac De Jour Nano Smoot Leather Handbag Dark Beige Ghw;-27%;Rp 37.900.000;None;Rp27.760.000
JW PEI;10% off;Min. pembelian  Rp800.000, maks. potongan Rp250.000.;JW Pei Fei Tote Bag Navy;-24%;Rp 1.995.000;None;Rp1.526.175
Chloé;15% off;Min. pembelian  Rp400.000, maks. potongan Rp120.000.;Chloe Mini Marcie Crossbody Bag in Black;-6%;Rp 30.154.612;None;Rp28.526.881
MICHAEL KORS;None;None;Michael Kors Charlotte Tote In Signature Canvas Brown 35T0GCFT3B;-61%;Rp 17.490.000;Rp 6.912.000;Rp 6.912.000
MARHEN J;20% off;Min. pembelian  Rp499.000, maks. potongan Rp150.000.;Marhen J Bona Bag All Olive Khaki;-28%;Rp 1.988.000;None;Rp1.440.400
Burberry;15% off;Min. pembelian  Rp400.000, maks. potongan Rp120.000.;Burberry Logo Graphic Canvas And Leather Louise Crossbody Bag in Natural;-6%;Rp 33.765.029;None;Rp31.956.778
Marc Jacobs;None;None;The Marc Jacobs Shutter Crossbody Bag Black M0015468;-27%;Rp 15.290.000;Rp 11.227.500;Rp 11.227.500
Bellroy;15% off;Min. pembelian  Rp400.000, maks. potongan Rp120.000.;Bellroy Tokyo Tote Compact - Melbourne Black;-5%;Rp 2.459.000;None;Rp2.339.000
Bonia;15% off;Min. pembelian  Rp400.000, maks. potongan Rp120.000.;Monogram Modello Satchel;-23%;Rp 5.400.000;None;Rp4.200.000
MARHEN J;20% off;Min. pembelian  Rp499.000, maks. potongan Rp150.000.;Marhen J Bona Bag All Indi Pink;-28%;Rp 1.988.000;None;Rp1.440.400
Coach;None;None;Coach Zip Top Tote In Signature Canvas 4455 Brown Black;-57%;Rp 15.290.000;Rp 6.727.500;Rp 6.727.500
Balenciaga;5% off;Min. pembelian  Rp4.000.000, maks. potongan Rp200.000.;Balenciaga Hourglass Croco XS Top Handle Bag White Ghw;-29%;Rp 36.850.000;None;Rp26.470.000
Burberry;15% off;Min. pembelian  Rp400.000, maks. potongan Rp120.000.;Burberry Horseferry Print Canvas and Leather Mini Crossbody Bag in Black/Tan;-6%;Rp 30.459.718;None;Rp28.816.732
MICHAEL KORS;None;None;Parker Medium Logo Crossbody Bag;None;None;None;None
Bottega Veneta;15% off;Min. pembelian  Rp400.000, maks. potongan Rp120.000.;Bottega Veneta Medium Zipped Clutch Bag in Black;-6%;Rp 29.849.506;None;Rp28.237.031
Kenzo;15% off;Min. pembelian  Rp400.000, maks. potongan Rp120.000.;Kenzo Kontact Eyes A4 Clutch Bag in Pastel Pink for UNISEX;-7%;Rp 6.992.005;None;Rp6.522.405
MICHAEL KORS;None;None;Karlie Large Pebbled Leather Tote Bag;-50%;Rp 8.719.000;Rp 4.359.500;Rp 4.359.500
Coach;15% off;Min. pembelian  Rp400.000, maks. potongan Rp120.000.;Mollie Bucket Bag 22 Taupe;-39%;Rp 8.770.000;None;Rp5.424.000
LONGCHAMP;15% off;Min. pembelian  Rp400.000, maks. potongan Rp120.000.;Longchamp Le Foulonné S Crossbody Bag in Caramel;-7%;Rp 11.187.208;None;Rp10.507.848
